"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","study_id","session_id","rt","stimulus","response","task","attempt","result","id","slider_start"
"true","false","[]","[]","[]","preload","0","2.1.0","975","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","9606","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","8630","
    <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary.<br><br>When you are ready to begin the audio attention check, click 'Start'.</p>
    </div>
","0","","","","",""
"","","","","","audio-button-response","2","2.1.0","16196","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","6581","audio/gift.wav","2","audio_check","1","correct","",""
"","","","","","html-button-response","3","2.1.0","17360","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","1163","<p>Correct! You are ready to begin the study.</p>","0","","","","",""
"","","","","","html-button-response","4","2.1.0","34074","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","16714","
        <div style=""
            max-width: 640px;
            margin: 40px auto;
            padding: 32px 40px;
            background: #ffffff;
            border: 1px solid #e5e7eb;
            border-radius: 16px;
            font-size: 16px;
            line-height: 1.6;
            text-align: left;
            color: #1f2937;
        "">
            <p style=""margin-top: 0;"">In this study, you will hear a single audio clip of someone speaking.</p>
            <p>Please listen carefully. The clip will play <strong>once</strong> and cannot be replayed, so keep your headphones on and your volume set.</p>
            <p>After listening, you will be asked to type the first <strong>five words</strong> that come to mind to describe what you heard (one word per box), and then answer a short question about the voice.</p>
            <p>There are no right or wrong answers. We are interested in your honest first impressions.</p>
            <p style=""margin-bottom: 0;"">When you understand these instructions and are ready to hear the audio clip, click 'Continue'.</p>
        </div>
    ","0","","","","",""
"","","","","","audio-keyboard-response","5","2.1.0","55470","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","null","audio/gracie_valley.mp3","null","listen","","","gracie_valley",""
"","","","","","survey-text","6","2.1.0","105576","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","50102","","{""word_1"":""opinionated"",""word_2"":""wordy"",""word_3"":""confident"",""word_4"":""entitled"",""word_5"":""moody""}","response","","","gracie_valley",""
"","","","","","html-slider-response","7","2.1.0","112186","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","6609","<p>How human did the voice sound?</p>","75","rating","","","gracie_valley","50"
"","","","","","html-button-response","8","2.1.0","118473","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","6286","<p>You have completed the listening trial. You will now be directed to an short questionnaire about artificial intelligence, followed by an optional demographic survey. <br><br> After seeing the survey, you will be able to end the study.</p>","0","","","","",""
"","","","","","survey","9","3.0.0","219491","69ba27d8069a7a4a2764ed9f","6a4006e2dbfd0dc33ffaa39b","6a42a9bb8ccf80471f31865b","100974","","{""cognitive_1"":5,""behavioral_1"":5,""affective_1"":5,""cognitive_2"":4,""affective_2"":5,""behavioral_2"":4,""understood"":true,""age"":49,""gender"":""male"",""ethnicity"":""pac islander/asian"",""language"":""english"",""education"":""Hold a higher degree"",""enjoy"":""Better than average study"",""payment"":""The payment was too low"",""comments"":""i would like to know if the voice was human or AI? "",""question1"":null,""question2"":null,""question3"":null}","","","","",""
